Date,Price
20210129,0.03678
20210130,0.0458
20210131,0.02833
20210201,0.03705
20210202,0.03476
20210203,0.03129
20210204,0.03735
20210205,0.05309
20210206,0.04682
20210207,0.05767
20210208,0.07812
20210209,0.07881
20210210,0.07005
20210211,0.0727
20210212,0.06975
20210213,0.07006
20210214,0.06633
20210215,0.0627
20210216,0.05655
20210217,0.05352
20210218,0.0495
20210219,0.05897
20210220,0.0551
20210221,0.05422
20210222,0.05613
20210223,0.0536
20210224,0.04769
20210225,0.05685
20210226,0.04993
20210227,0.05057
20210228,0.05014
20210301,0.04825
20210302,0.05064
20210303,0.05041
20210304,0.05064
20210305,0.04999
20210306,0.04963
20210307,0.0511
20210308,0.0521
20210309,0.06316
20210310,0.05805
20210311,0.05593
20210312,0.05597
20210313,0.05526
20210314,0.06268
20210315,0.05844
20210316,0.05701
20210317,0.05864
20210318,0.05797
20210319,0.05734
