Date,Price
20210129,133.56
20210130,134.64
20210131,133.53
20210201,129.62
20210202,132.05
20210203,142.16
20210204,156.21
20210205,145.28
20210206,155.15
20210207,155.7
20210208,151.01
20210209,167.57
20210210,181.71
20210211,181.87
20210212,183.89
20210213,196.98
20210214,226.53
20210215,213.82
20210216,207.99
20210217,210.27
20210218,237.49
20210219,226.65
20210220,236.69
20210221,227.14
20210222,227.5
20210223,208.04
20210224,177.58
20210225,181.64
20210226,179.3
20210227,170.32
20210228,172.03
20210301,165.6
20210302,176.07
20210303,179.09
20210304,187.86
20210305,180.67
20210306,180.55
20210307,182.8
20210308,190.6
20210309,191.87
20210310,203.94
20210311,200.27
20210312,201.46
20210313,220.76
20210314,226.18
20210315,214.06
20210316,200.8
20210317,201.62
20210318,206.01
20210319,199.67
